Non Manufacturers,,,,,Latest,Latest,Latest,Total,,Total,,Retained,Total Equity,,Latest,Latest,Previous,,Latest,Latest,Previous,,Latest,Latest,,,,,,,Working Cap/,Ret. Earnings/,EBIT/,Book Value of Equity/,,,,,,,
NI,NISOURCE INC.,Utilities,Infrastructure, 0.15 , High ,2020-03-31,1,2020," 3,225.4 "," 22,592.7 "," 4,161.8 "," 16,851.3 "," (1,483.4)"," 5,741.4 ", (936.4)," 5,208.9 "," 1,605.5 "," 1,869.8 "," 4,944.6 ", 890.7 , 428.4 , 374.2 , 944.9 , 384.1 ,24.49," 9,406.95 "," 5,741 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.041), (0.066), 0.042 , 0.341 , (0.27), (0.21), 0.28 , 0.35 , 0.15 , High 
GE,GENERAL ELECTRIC CO,Conglomorates,Conglomorates, 0.13 , High ,2020-06-30,2,2020," 83,396.0 "," 256,487.0 "," 131,809.0 "," 221,233.0 "," 91,188.0 "," 33,675.0 "," (48,413.0)"," 95,215.0 "," 38,273.0 "," 45,616.0 "," 87,872.0 "," 6,449.0 "," (1,820.0)"," 3,058.0 "," 1,571.0 "," 8,752.0 ",6.26," 54,787.52 "," 35,254 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.189), 0.356 , 0.006 , 0.159 , (1.24), 1.16 , 0.04 , 0.17 , 0.13 , High 
DAL,"DELTA AIR LINES, INC.",Services,Transportation, 0.12 , High ,2020-06-30,2,2020," 18,915.0 "," 72,261.0 "," 20,150.0 "," 63,571.0 "," 5,706.0 "," 8,690.0 "," (1,235.0)"," 47,007.0 "," 10,060.0 "," 23,008.0 "," 34,059.0 "," 6,618.0 "," (5,225.0)"," 3,148.0 "," (1,755.0)", 636.0 ,24.94," 15,861.84 "," 8,690 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.017), 0.079 , (0.024), 0.137 , (0.11), 0.26 , (0.16), 0.14 , 0.12 , High 
DRI,DARDEN RESTAURANTS INC,Services,Hospitality, 0.09 , High ,2020-05-31,4,2020," 1,101.4 "," 9,946.1 "," 1,792.8 "," 7,614.9 ", 143.5 ," 2,331.2 ", (691.4)," 7,806.9 "," 7,806.9 "," 8,510.4 "," 7,806.9 ", 268.9 , 268.9 , 851.5 , 268.9 , 122.7 ,78.55," 9,638.09 "," 2,331 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.070), 0.014 , 0.027 , 0.306 , (0.46), 0.05 , 0.18 , 0.32 , 0.09 , High 
AMT,AMERICAN TOWER CORP /MA/,Financial,REITs, 0.05 , High ,2020-06-30,2,2020," 3,226.6 "," 41,515.9 "," 5,944.9 "," 36,913.3 "," (1,125.1)"," 3,620.3 "," (2,718.3)"," 7,580.3 "," 3,906.1 "," 3,703.0 "," 7,783.4 "," 2,688.4 "," 1,428.1 "," 1,298.8 "," 2,817.7 ", 445.9 ,262.49," 117,042.45 "," 4,060 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.065), (0.027), 0.068 , 0.110 , (0.43), (0.09), 0.46 , 0.11 , 0.05 , High 
LYV,"LIVE NATION ENTERTAINMENT, INC.",Services,Media, 0.02 , High ,2020-03-31,1,2020," 4,851.0 "," 11,861.4 "," 4,730.1 "," 10,187.0 "," (1,137.1)", 859.4 , 121.0 ," 11,548.0 "," 1,365.7 "," 1,727.8 "," 11,185.8 ", 322.5 , (172.5), (24.0), 173.9 , 211.0 ,46.47," 9,807.41 "," 1,674 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.010 , (0.096), 0.015 , 0.164 , 0.07 , (0.31), 0.10 , 0.17 , 0.02 , High 
FE,FIRSTENERGY CORP,Utilities,Infrastructure, 0.02 , High ,2020-03-31,1,2020," 2,003.0 "," 42,090.0 "," 3,697.0 "," 35,276.0 "," (3,893.0)"," 6,814.0 "," (1,694.0)"," 11,035.0 "," 2,709.0 "," 2,883.0 "," 10,861.0 "," 2,510.0 ", 532.0 , 629.0 ," 2,413.0 ", 543.0 ,28.87," 15,676.41 "," 6,814 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.040), (0.092), 0.057 , 0.193 , (0.26), (0.30), 0.39 , 0.20 , 0.02 , High 
NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD.,Services,Hospitality, (0.07), High ,2020-03-31,1,2020," 1,696.3 "," 16,462.5 "," 2,959.8 "," 12,087.9 "," 1,950.0 "," 4,374.7 "," (1,263.5)"," 6,462.4 "," 1,246.9 "," 1,403.6 "," 6,305.6 "," 1,178.1 "," (1,824.1)", 158.3 , (804.3), 213.6 ,14.17," 3,027.15 "," 4,375 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.077), 0.118 , (0.049), 0.362 , (0.50), 0.39 , (0.33), 0.38 , (0.07), High 
WMB,"WILLIAMS COMPANIES, INC.",Resources,Energy, (0.15), High ,2020-03-31,1,2020," 1,565.0 "," 44,629.0 "," 2,116.0 "," 29,370.0 "," (12,013.0)"," 12,354.0 ", (551.0)," 8,201.0 "," 1,913.0 "," 2,054.0 "," 8,060.0 "," 1,923.0 ", 431.0 , 561.0 ," 1,793.0 "," 1,213.0 ",19.34," 23,459.79 "," 15,259 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.012), (0.269), 0.040 , 0.520 , (0.08), (0.88), 0.27 , 0.54 , (0.15), High 
HPE,HEWLETT PACKARD ENTERPRISE CO,Services,Technology Services, (0.17), High ,2020-04-30,2,2020," 17,983.0 "," 54,515.0 "," 20,197.0 "," 38,257.0 "," (8,385.0)"," 16,210.0 "," (2,214.0)"," 29,135.0 "," 12,958.0 "," 14,703.0 "," 27,390.0 "," 2,543.0 ", (84.0)," 1,202.0 "," 1,257.0 "," 1,295.0 ",9.62," 12,457.90 "," 16,258 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.041), (0.154), 0.023 , 0.425 , (0.27), (0.50), 0.15 , 0.44 , (0.17), High 
TMUS,"T-MOBILE US, INC.",Utilities,Telecommunications, (0.18), High ,2020-03-31,4,2020," 9,487.0 "," 87,226.0 "," 14,756.0 "," 58,249.0 "," (7,949.0)"," 28,977.0 "," (5,269.0)"," 44,998.0 ", -   ," 44,998.0 ", -   ," 5,722.0 ", -   ," 5,722.0 ", -   , -   ,105.48, -   ," 28,977 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.060), (0.091), -   , 0.497 , (0.40), (0.30), -   , 0.52 , (0.18), High 
UDR,"UDR, INC.",Financial,REITs, (0.21), High ,2020-06-30,2,2020, 178.8 ," 9,564.5 ", 423.6 ," 5,315.1 "," (2,432.9)"," 3,397.3 ", (244.8)," 1,152.2 ", 628.7 , 552.0 ," 1,228.9 ", 215.8 , 69.4 , 112.1 , 173.1 , 295.1 ,36.1," 10,652.50 "," 3,415 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.026), (0.254), 0.018 , 0.643 , (0.17), (0.83), 0.12 , 0.67 , (0.21), High 
UAL,"UNITED AIRLINES HOLDINGS, INC.",Services,Transportation, (0.22), High ,2020-06-30,2,2020," 10,041.0 "," 54,901.0 "," 16,395.0 "," 46,384.0 "," 6,365.0 "," 8,517.0 "," (6,354.0)"," 43,259.0 "," 9,454.0 "," 20,991.0 "," 31,722.0 "," 4,301.0 "," (2,609.0)"," 1,967.0 ", (275.0), 264.6 ,31.74," 8,398.40 "," 8,517 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.116), 0.116 , (0.005), 0.184 , (0.76), 0.38 , (0.03), 0.19 , (0.22), High 
CCI,CROWN CASTLE INTERNATIONAL CORP,Financial,REITs, (0.25), High ,2020-03-31,1,2020," 1,247.0 "," 38,616.0 "," 2,669.0 "," 28,495.0 "," (7,712.0)"," 10,121.0 "," (1,422.0)"," 5,763.0 "," 1,421.0 "," 1,408.0 "," 5,776.0 "," 1,559.0 ", 364.0 , 367.0 ," 1,556.0 ", 418.0 ,170.21," 71,147.78 "," 10,121 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.037), (0.200), 0.040 , 0.355 , (0.24), (0.65), 0.27 , 0.37 , (0.25), High 
AIV,APARTMENT INVESTMENT & MANAGEMENT CO,Financial,REITs, (0.29), High ,2020-03-31,1,2020, 374.8 ," 7,048.2 ", 349.1 ," 5,151.6 "," (1,776.8)"," 1,717.5 ", 25.7 , 914.3 , 224.6 , 230.2 , 908.6 , 156.8 , 36.8 , 42.7 , 150.9 , 148.8 ,38.3," 5,698.50 "," 1,796 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.004 , (0.252), 0.021 , 0.349 , 0.02 , (0.82), 0.14 , 0.36 , (0.29), High 
HLT,HILTON WORLDWIDE HOLDINGS INC.,Services,Hospitality, (0.34), High ,2020-03-31,1,2020," 3,149.0 "," 15,788.0 "," 2,220.0 "," 16,692.0 "," (5,999.0)", (914.0), 929.0 ," 9,452.0 "," 1,920.0 "," 2,204.0 "," 9,168.0 "," 1,576.0 ", 68.0 , 312.0 ," 1,332.0 ", 280.0 ,76.14," 21,319.20 ", (904), 6.56 , 3.26 , 6.72 , 1.04 , 0.059 , (0.380), 0.084 , (0.054), 0.39 , (1.24), 0.57 , (0.06), (0.34), High 
CAH,CARDINAL HEALTH INC,Trade,Wholesale, (0.39), High ,2020-03-31,3,2020," 25,848.0 "," 41,148.0 "," 24,671.0 "," 39,942.0 ", 656.0 ," 1,203.0 "," 1,177.0 "," 145,534.0 "," 116,233.0 "," 108,181.0 "," 153,586.0 "," 1,572.0 "," (4,361.0)"," 1,260.0 "," (4,049.0)", 293.0 ,56.48," 16,548.64 "," 1,206 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.029 , 0.016 , (0.098), 0.030 , 0.19 , 0.05 , (0.66), 0.03 , (0.39), High 
NLSN,NIELSEN HOLDINGS PLC,Services,Business Services, (0.42), High ,2020-03-31,1,2020," 2,014.0 "," 14,193.0 "," 2,568.0 "," 11,962.0 "," (1,228.0)"," 2,044.0 ", (554.0)," 6,498.0 "," 1,559.0 "," 1,563.0 "," 6,494.0 ", (93.0), 98.0 , 174.0 , (169.0), 356.4 ,14.45," 5,149.82 "," 2,231 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.039), (0.087), (0.012), 0.187 , (0.26), (0.28), (0.08), 0.19 , (0.42), High 
EXPE,"EXPEDIA GROUP, INC.",Services,Technology Services, (0.03), High ,2020-06-30,2,2020," 8,944.0 "," 21,905.0 "," 7,872.0 "," 17,680.0 "," (1,206.0)"," 2,756.0 "," 1,072.0 "," 12,067.0 "," 2,775.0 "," 5,762.0 "," 9,080.0 ", 903.0 ," (2,143.0)", 134.0 ," (1,374.0)", 140.9 ,84.93," 11,970.63 "," 4,225 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.049 , (0.055), (0.063), 0.239 , 0.32 , (0.18), (0.42), 0.25 , (0.03), High 
NLOK,NORTONLIFELOCK INC.,Services,Technology Services, (0.71), High ,2020-04-03,4,2020," 3,079.0 "," 7,735.0 "," 2,622.0 "," 7,725.0 "," (3,330.0)", 10.0 , 457.0 ," 2,490.0 "," 2,490.0 "," 2,456.0 "," 2,490.0 ", 355.0 , 355.0 , 158.0 , 355.0 , 643.0 ,21.13," 13,586.59 ", 10 , 6.56 , 3.26 , 6.72 , 1.04 , 0.059 , (0.431), 0.046 , 0.001 , 0.39 , (1.40), 0.31 , 0.00 , (0.71), High 
SBUX,STARBUCKS CORP,Services,Hospitality, (0.84), High ,2020-06-28,3,2020," 7,581.0 "," 29,140.6 "," 8,002.0 "," 37,764.9 "," (8,208.3)"," (8,621.6)", (421.0)," 26,508.6 "," 17,314.9 "," 19,761.6 "," 24,061.9 "," 3,779.9 ", 793.1 ," 2,788.5 "," 1,784.5 "," 1,182.7 ",76.64," 90,642.13 "," (8,624)", 6.56 , 3.26 , 6.72 , 1.04 , (0.014), (0.282), 0.061 , (0.228), (0.09), (0.92), 0.41 , (0.24), (0.84), High 
AAL,AMERICAN AIRLINES GROUP INC.,Services,Transportation, (0.95), High ,2020-06-30,2,2020," 13,789.0 "," 64,544.0 "," 18,000.0 "," 67,713.0 "," (2,088.0)"," (3,169.0)"," (4,211.0)"," 45,768.0 "," 10,137.0 "," 22,544.0 "," 33,361.0 "," 3,065.0 "," (5,034.0)"," 1,528.0 "," (3,497.0)", 427.3 ,11.18," 4,776.77 "," (3,169)", 6.56 , 3.26 , 6.72 , 1.04 , (0.065), (0.032), (0.054), (0.047), (0.43), (0.11), (0.36), (0.05), (0.95), High 
LB,"L BRANDS, INC.",Trade,Retail, (1.09), High ,2020-05-02,1,2021," 2,849.0 "," 9,439.0 "," 2,683.0 "," 11,297.0 "," (2,562.0)"," (1,861.0)", 166.0 ," 12,914.0 "," 1,654.0 "," 2,629.0 "," 11,939.0 ", 258.0 , (318.0), 153.0 , (213.0), 277.0 ,24.54," 6,797.58 "," (1,858)", 6.56 , 3.26 , 6.72 , 1.04 , 0.018 , (0.271), (0.023), (0.164), 0.12 , (0.88), (0.15), (0.17), (1.09), High 
O,REALTY INCOME CORP,Financial,REITs, (1.23), High ,2020-03-31,1,2020, 227.4 ," 18,796.4 "," 6,605.0 "," 8,378.8 "," (3,173.5)"," 10,388.0 "," (6,377.5)"," 1,484.8 ", 412.2 , 354.0 ," 1,542.9 ", 695.6 , 196.5 , 175.1 , 717.0 , 337.0 ,60.55," 20,403.93 "," 10,418 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.339), (0.169), 0.038 , 1.243 , (2.23), (0.55), 0.26 , 1.29 , (1.23), High 
DXC,DXC TECHNOLOGY CO,Services,Business Services, (1.41), High ,2020-03-31,4,2020," 8,987.0 "," 26,006.0 "," 7,895.0 "," 20,877.0 "," (5,177.0)"," 4,785.0 "," 1,092.0 "," 19,577.0 "," 19,577.0 "," 20,753.0 "," 19,577.0 "," (5,010.0)"," (5,010.0)"," 1,721.0 "," (5,010.0)", 258.6 ,17.76," 4,592.20 "," 5,129 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.042 , (0.199), (0.193), 0.246 , 0.28 , (0.65), (1.29), 0.26 , (1.41), High 
ADSK,"AUTODESK, INC.",Services,Technology Services, (1.53), High ,2020-04-30,1,2021," 2,024.3 "," 5,543.9 "," 2,578.3 "," 5,683.0 "," (2,361.3)", (139.1), (554.0)," 3,274.3 ", 885.7 , 735.5 ," 3,424.5 ", 343.0 , 130.6 , 24.8 , 448.8 , 221.3 ,236.1," 52,248.93 ", (139), 6.56 , 3.26 , 6.72 , 1.04 , (0.100), (0.426), 0.081 , (0.024), (0.66), (1.39), 0.54 , (0.03), (1.53), High 
BKR,BAKER HUGHES CO,Resources,Energy, (1.90), High ,2020-06-30,2,2020," 15,502.0 "," 37,523.0 "," 10,567.0 "," 19,958.0 "," (10,413.0)"," 11,254.0 "," 4,935.0 "," 23,838.0 "," 10,160.0 "," 11,608.0 "," 22,390.0 "," 1,074.0 "," (16,111.0)", 447.0 ," (15,484.0)", 654.0 ,15.33," 10,025.82 "," 17,565 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.132 , (0.278), (0.413), 0.880 , 0.86 , (0.90), (2.77), 0.92 , (1.90), High 
SLB,SCHLUMBERGER LIMITED/NV,Resources,Energy, (2.15), High ,2020-06-30,2,2020," 14,379.0 "," 44,667.0 "," 11,665.0 "," 32,211.0 "," 7,073.0 "," 12,040.0 "," 2,714.0 "," 32,917.0 "," 12,811.0 "," 16,149.0 "," 29,579.0 "," (10,142.0)"," (11,507.0)"," 1,364.0 "," (23,013.0)"," 1,388.0 ",18.44," 25,594.72 "," 12,456 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.061 , 0.158 , (0.515), 0.387 , 0.40 , 0.52 , (3.46), 0.40 , (2.15), High 
NBL,NOBLE ENERGY INC,Resources,Energy, (2.21), High ,2020-03-31,1,2020," 2,312.0 "," 17,458.0 "," 1,750.0 "," 12,303.0 "," (3,780.0)"," 4,397.0 ", 562.0 ," 4,438.0 "," 1,020.0 "," 1,052.0 "," 4,406.0 "," (1,319.0)"," (4,333.0)", (91.0)," (5,561.0)", 479.0 ,10.22," 4,895.38 "," 5,046 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.032 , (0.217), (0.319), 0.410 , 0.21 , (0.71), (2.14), 0.43 , (2.21), High 
YUM,YUM BRANDS INC,Services,Hospitality, (2.31), High ,2020-03-31,1,2020," 1,991.0 "," 6,085.0 "," 1,500.0 "," 14,314.0 "," (7,695.0)"," (8,229.0)", 491.0 ," 5,597.0 "," 1,263.0 "," 1,254.0 "," 5,606.0 "," 1,893.0 ", 237.0 , 427.0 ," 1,703.0 ", 307.0 ,91.64," 28,133.48 "," (8,229)", 6.56 , 3.26 , 6.72 , 1.04 , 0.081 , (1.265), 0.280 , (0.575), 0.53 , (4.12), 1.88 , (0.60), (2.31), High 
SBAC,SBA COMMUNICATIONS CORP,Financial,REITs, (2.41), High ,2020-03-31,1,2020, 395.1 ," 9,359.5 "," 1,019.6 "," 13,662.3 "," (5,943.4)"," (4,317.2)", (624.5)," 2,014.6 ", 517.1 , 493.3 ," 2,038.4 ", 583.5 , 151.2 , 139.3 , 595.4 , 111.9 ,311.41," 34,849.27 "," (4,317)", 6.56 , 3.26 , 6.72 , 1.04 , (0.067), (0.635), 0.064 , (0.316), (0.44), (2.07), 0.43 , (0.33), (2.41), High 
VTR,"VENTAS, INC.",Financial,REITs, (2.48), High ,2020-03-31,1,2020," 3,510.0 "," 26,617.8 "," 15,563.9 "," 15,703.7 "," (3,491.7)"," 10,632.9 "," (12,054.0)"," 3,861.8 "," 1,007.2 ", 942.6 ," 3,926.4 ", 839.6 , 234.1 , 234.8 , 839.0 , 376.0 ,38.53," 14,487.16 "," 10,716 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.453), (0.131), 0.032 , 0.682 , (2.97), (0.43), 0.21 , 0.71 , (2.48), High 
EXR,EXTRA SPACE STORAGE INC.,Financial,REITs, (2.69), High ,2020-03-31,1,2020, 97.9 ," 8,549.5 "," 4,696.7 "," 5,774.9 ", (362.3)," 2,398.1 "," (4,598.8)"," 1,308.5 ", 332.5 , 311.5 ," 1,329.4 ", 633.8 , 157.2 , 148.5 , 642.5 , 137.1 ,101.51," 13,921.04 "," 2,599 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.538), (0.042), 0.075 , 0.450 , (3.53), (0.14), 0.50 , 0.47 , (2.69), High 
DPZ,DOMINOS PIZZA INC,Services,Hospitality, (2.76), High ,2020-06-14,2,2020, 927.1 ," 1,581.7 ", 459.9 ," 4,864.6 "," (3,311.0)"," (3,282.9)", 467.2 ," 3,618.8 "," 1,793.1 "," 1,647.6 "," 3,764.3 ", 629.4 , 319.4 , 282.4 , 666.4 , 39.7 ,384.53," 15,261.48 "," (3,283)", 6.56 , 3.26 , 6.72 , 1.04 , 0.295 , (2.093), 0.421 , (0.675), 1.94 , (6.82), 2.83 , (0.70), (2.76), High 
CXO,CONCHO RESOURCES INC,Resources,Energy, (6.12), High ,2020-06-30,2,2020," 1,367.0 "," 12,780.0 ", 760.0 ," 4,860.0 "," (6,472.0)"," 7,920.0 ", 607.0 ," 4,592.0 "," 1,396.0 "," 2,231.0 "," 3,757.0 ", (261.0)," (12,470.0)", (408.0)," (12,323.0)", 195.3 ,50.75," 9,911.73 "," 7,920 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.047 , (0.506), (0.964), 1.630 , 0.31 , (1.65), (6.48), 1.69 , (6.12), High 
APA,APACHE CORP,Resources,Energy, (6.60), High ,2020-06-30,2,2020," 1,658.0 "," 12,999.0 "," 1,710.0 "," 13,043.0 "," (10,467.0)"," (1,635.0)", (52.0)," 6,411.0 "," 2,096.0 "," 3,294.0 "," 5,213.0 "," (2,547.0)"," (4,692.0)", 302.0 ," (7,541.0)", 378.0 ,16.01," 6,051.78 ", (636), 6.56 , 3.26 , 6.72 , 1.04 , (0.004), (0.805), (0.580), (0.049), (0.03), (2.63), (3.90), (0.05), (6.60), High 
VRSN,VERISIGN INC/CA,Services,Technology Services, (25.24), High ,2020-06-30,2,2020," 1,249.6 "," 1,820.1 "," 1,018.3 "," 3,220.5 "," (15,990.9)"," (1,400.3)", 231.3 ," 1,231.7 ", 626.9 , 612.7 ," 1,245.9 ", 806.1 , 413.0 , 401.9 , 817.2 , 116.1 ,208.48," 24,212.24 "," (1,400)", 6.56 , 3.26 , 6.72 , 1.04 , 0.127 , (8.786), 0.449 , (0.435), 0.83 , (28.64), 3.02 , (0.45), (25.24), High 
